node_id,node_no,node_type,is_boundary,#_of_outgoing_nodes,activity_node_flag,agent_type,zone_id,cell_code,info_zone_flag,x_coord,y_coord
202482,159,,0,0,0,, -1,,0,-112.412297,33.724658
202481,160,,0,0,0,, -1,,0,-112.429623,33.724665
202480,161,,0,0,0,, -1,,0,-112.409303,33.712999
202479,162,,0,0,0,, -1,,0,-112.429670,33.734723
202478,163,,0,0,1,, 17,,0,-112.412238,33.731975
617,164,,1,0,1,, 617,,0,-112.441006,33.733257
202477,165,,0,0,0,, -1,,0,-112.437714,33.724657
2142,166,,1,0,1,, 2142,,0,-112.426521,33.711249
202476,167,,0,0,0,, -1,,0,-112.409310,33.696656
202475,168,,0,0,0,, -1,,0,-112.404888,33.724662
2136,169,,1,0,1,, 2136,,0,-112.403456,33.731610
202474,170,,0,0,0,, -1,,0,-112.404232,33.724651
2147,171,,1,0,1,, 2147,,0,-112.369061,33.716073
202467,172,,0,0,0,, -1,,0,-112.359900,33.696558
202466,173,,0,0,0,, -1,,0,-112.360367,33.696725
202465,174,,0,0,0,, -1,,0,-112.342605,33.724867
202464,175,,0,0,0,, -1,,0,-112.342753,33.711155
646,176,,1,0,1,, 646,,0,-112.373623,33.693131
2137,177,,1,0,1,, 2137,,0,-112.385962,33.731851
767,178,,1,0,1,, 767,,0,-112.341724,33.710223
202463,179,,0,0,0,, -1,,0,-112.348458,33.711168
2148,180,,1,0,1,, 2148,,0,-112.349574,33.720271
766,181,,1,0,1,, 766,,0,-112.342926,33.733310
202462,182,,0,0,0,, -1,,0,-112.335717,33.724890
202370,183,,0,0,0,, -1,,0,-112.324998,33.649988
202354,184,,0,0,1,, 2,,0,-112.310974,33.638683
202353,185,,0,0,0,, -1,,0,-112.324770,33.636660
