link_id,vdf_type,from_node_id,to_node_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,preload_volume,person_volume,travel_time,speed,speed_ratio,VOC,DOC,capacity,queue,avg_waiting_time_in_min,qdf,lanes,D,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_sov,person_vol_hov2,person_vol_hov3,person_vol_sut,person_vol_mut,obs_count,upper_bound_type,dev,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,SVol_0,SVol_1,SVol_2,SVol_3,SVol_4,SVol_5,SVol_6,SVol_7,SVol_8,SVol_9,SVol_10,SVol_11,SVol_12,SVol_13,SVol_14,SVol_15,SVol_16,SVol_17,SVol_18,SVol_19,notes
200998AB,qvdf,202824,202894,,,-1,0,-1,-1,4,,4,1500_1800,598.195,0.054,598.195,0.854,35.687,0.892,0.399,0.425,500.000,0.000,0.092,0.355,1.000,212.271,1.169,1.195,0.274,0.000,40.000,34.000,0.498,1.000,35.687,29.926,303.931,8.517,303.931,8.517,0.918,0.000,"LINESTRING (-112.469722 33.712942, -112.478543 33.712949)",598.1,0.0,0.0,0.0,0.0,12.6,0,585.6,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.807,39.228,38.650,38.071,37.492,36.914,36.335,35.669,33.688,36.669,37.918,39.167,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,598.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
200998BA,qvdf,202894,202824,,,-1,0,-1,-1,4,,4,1500_1800,523.816,0.054,523.816,0.836,36.480,0.912,0.349,0.372,500.000,0.000,0.074,0.355,1.000,185.877,1.169,1.195,0.218,0.000,40.000,34.000,0.498,1.000,36.480,30.667,266.140,7.296,266.140,7.296,0.642,0.000,"LINESTRING (-112.478543 33.709743, -112.469722 33.709736)",523.8,0.0,0.0,0.0,0.0,10.3,0,513.5,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.845,39.379,38.914,38.448,37.983,37.518,37.052,37.104,35.119,37.365,38.353,39.341,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,523.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
201000AB,qvdf,202825,202824,,,-1,0,-1,-1,4,,4,1500_1800,598.195,0.054,598.195,0.503,38.561,0.964,0.199,0.212,500.000,0.000,0.018,0.355,2.000,106.135,1.169,1.195,0.084,0.000,40.000,34.000,0.498,1.000,38.561,32.628,193.259,5.012,193.259,5.012,0.180,0.000,"LINESTRING (-112.464113 33.712945, -112.469722 33.712942)",598.1,0.0,0.0,0.0,0.0,12.6,0,585.6,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.939,39.755,39.571,39.387,39.204,39.020,38.836,38.652,36.666,38.998,39.374,39.750,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,598.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
201000BA,qvdf,202824,202825,,,-1,0,-1,-1,4,,4,1500_1800,523.816,0.054,523.816,0.499,38.842,0.971,0.175,0.186,500.000,0.000,0.014,0.355,2.000,92.938,1.169,1.195,0.067,0.000,40.000,34.000,0.498,1.000,38.842,32.896,169.229,4.357,169.229,4.357,0.126,0.000,"LINESTRING (-112.469722 33.709736, -112.464113 33.709739)",523.8,0.0,0.0,0.0,0.0,10.3,0,513.5,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.951,39.804,39.657,39.509,39.362,39.215,39.068,38.921,36.933,39.201,39.501,39.800,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,523.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
201001AB,qvdf,202924,202825,,,-1,0,-1,-1,4,,4,1500_1800,795.163,1.562,795.163,0.090,37.719,0.943,0.265,0.282,500.000,0.000,0.005,0.355,2.000,141.083,1.169,1.195,0.137,0.000,40.000,34.000,0.498,1.000,37.719,31.832,44.927,1.191,44.927,1.191,0.068,0.000,"LINESTRING (-112.463132 33.712945, -112.464113 33.712945)",793.6,0.0,0.0,0.0,0.0,195.2,0,600.0,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.902,39.606,39.311,39.016,38.721,38.425,38.130,37.835,35.849,38.368,38.980,39.592,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,791.75,0.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,period-based
201001BA,qvdf,202825,202924,,,-1,0,-1,-1,4,,4,1500_1800,951.619,1.506,951.619,0.092,36.969,0.924,0.317,0.338,500.000,0.000,0.007,0.355,2.000,168.842,1.169,1.195,0.186,0.000,40.000,34.000,0.498,1.000,36.969,31.126,53.766,1.454,53.766,1.454,0.110,0.000,"LINESTRING (-112.464113 33.709739, -112.463132 33.709739)",950.1,0.0,0.0,0.0,0.0,145.7,0,805.9,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,38.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,39.868,39.470,39.073,38.676,38.278,37.881,37.484,37.961,35.973,37.772,38.608,39.443,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,949.56,0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,period-based
201003AB,qvdf,202926,202923,,,-1,0,-1,-1,2,,2,1500_1800,2431.334,664.023,2431.334,1.902,48.755,0.871,0.450,0.488,900.000,0.000,0.246,0.361,2.000,438.876,1.235,1.177,0.366,0.000,56.000,47.600,0.457,1.000,48.755,40.781,3756.776,77.054,3756.776,77.054,9.969,0.000,"LINESTRING (-112.481667 33.739270, -112.461974 33.724042)",1767.3,0.0,0.0,0.0,0.0,3901.2,0,-1469.9,55.975,55.901,55.826,55.752,55.677,55.603,55.528,52.726,55.617,55.721,55.826,55.930,55.963,55.852,55.742,55.631,55.521,55.410,55.299,55.189,55.078,54.967,54.857,54.746,54.636,54.525,51.738,54.653,54.808,54.963,55.119,55.274,55.430,55.585,55.741,55.896,55.668,54.671,53.674,52.678,51.681,50.684,49.687,49.937,47.189,50.090,52.306,54.522,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,2431.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
201003BA,qvdf,202923,202926,,,-1,0,-1,-1,2,,2,1500_1800,1557.354,627.804,1557.354,1.771,52.344,0.935,0.288,0.312,900.000,0.000,0.116,0.361,2.000,281.116,1.235,1.177,0.172,0.000,56.000,47.600,0.457,1.000,52.344,44.132,2406.346,45.971,2406.346,45.971,3.001,0.000,"LINESTRING (-112.460014 33.726578, -112.479707 33.741806)",929.6,0.0,0.0,0.0,0.0,3796.7,0,-2239.3,55.977,55.910,55.842,55.774,55.707,55.639,55.571,52.769,55.652,55.747,55.842,55.937,55.966,55.866,55.765,55.664,55.563,55.463,55.362,55.261,55.160,55.060,54.959,54.858,54.757,54.656,51.868,54.773,54.915,55.056,55.198,55.339,55.481,55.623,55.764,55.906,55.841,55.363,54.886,54.408,53.931,53.453,52.976,53.701,50.915,53.334,54.334,55.333,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1557.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
201005AB,qvdf,2125,202923,,,-1,0,-1,-1,9,,9,1500_1800,742.099,0.358,742.099,2.504,20.000,1.000,0.000,0.000,99999.000,0.000,0.000,0.355,9.000,29.259,1.169,1.195,0.000,0.000,20.000,17.000,0.498,1.000,20.000,17.000,619.474,30.974,619.474,30.974,0.000,0.000,"LINESTRING (-112.474933 33.728367, -112.461511 33.723793)",741.7,0.0,0.0,0.0,0.0,77.8,0,664.3,20.000,20.000,20.000,20.000,20.000,20.000,20.000,18.999,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,742.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
201005BA,qvdf,202923,2125,,,-1,0,-1,-1,9,,9,1500_1800,1011.434,0.472,1011.434,2.504,20.000,1.000,0.000,0.000,99999.000,0.000,0.000,0.355,9.000,39.879,1.169,1.195,0.000,0.000,20.000,17.000,0.498,1.000,20.000,17.000,844.304,42.215,844.304,42.215,0.000,0.000,"LINESTRING (-112.460477 33.726827, -112.473899 33.731401)",1011.0,0.0,0.0,0.0,0.0,59.5,0,951.9,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.001,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.001,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,19.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,1011.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,period-based
