od_no,o_zone_id,d_zone_id,o_zone_agent_type_cover_flag,d_zone_agent_type_cover_flag,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,travel_time_without_access_link,#_of_nodes,distance_kmOD0,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8,OD9,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,
20,2,620,0,0,0,0,sov,PM,3.76,0,1,1,0.0,44.0,43.9842,43.9842,15,9.4608,2.600140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
21,2,620,0,0,1,0,sov,PM,19.85,0,1,1,0.0,15.5,15.4674,15.4674,19,8.3716,2.600140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
22,2,621,0,0,0,0,sov,PM,17.49,0,1,1,0.0,13.4,13.4472,13.4472,15,7.7081,2.600140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
23,2,622,0,0,0,0,sov,PM,6.12,0,1,1,0.0,12.9,12.9434,12.9434,23,7.7967,0.847960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
24,2,623,0,0,0,0,sov,PM,17.49,0,1,1,0.0,11.3,11.2527,11.2527,14,6.4938,2.600140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
25,2,624,0,0,0,0,sov,PM,12.86,0,1,1,0.0,10.8,10.8401,10.8401,16,6.0330,1.911680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
26,2,625,0,0,0,0,sov,PM,34.98,0,1,1,0.0,9.6,9.5609,9.5609,13,5.5751,5.200280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
27,2,626,0,0,0,0,sov,PM,18.30,0,1,1,0.0,7.3,7.3184,7.3184,12,4.1350,2.719620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
28,2,627,0,0,0,0,sov,PM,34.98,0,1,1,0.0,6.4,6.3875,6.3875,9,3.4780,5.200280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
29,2,628,0,0,0,0,sov,PM,6.12,0,1,1,0.0,13.2,13.2244,13.2244,21,7.5962,0.640320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
30,2,633,0,0,0,0,sov,PM,6.43,0,1,1,0.0,10.0,9.9590,9.9590,16,5.7023,0.955840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
31,2,637,0,0,0,0,sov,PM,7.11,0,1,1,0.0,8.6,8.6438,8.6438,14,4.8013,1.056180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
32,2,640,0,0,0,0,sov,PM,31.65,0,1,1,0.0,6.0,6.0335,6.0335,9,3.1375,4.704960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
33,2,645,0,0,0,0,sov,PM,34.98,0,1,1,0.0,3.7,3.6630,3.6630,7,1.8315,5.200280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
34,2,646,0,0,0,0,sov,PM,34.98,0,1,1,0.0,13.9,13.8507,13.8507,14,7.7645,5.200280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
35,2,647,0,0,0,0,sov,PM,15.45,0,1,1,0.0,9.0,9.0017,9.0017,11,5.0744,2.296220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
36,2,649,0,0,0,0,sov,PM,34.98,0,1,1,0.0,9.5,9.5181,9.5181,12,5.5261,5.200280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
37,2,650,0,0,0,0,sov,PM,34.98,0,1,1,0.0,8.3,8.3150,8.3150,10,4.6496,5.200280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
38,2,651,0,0,0,0,sov,PM,34.98,0,1,1,0.0,6.1,6.0701,6.0701,8,3.3120,5.200280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
39,2,652,0,0,0,0,sov,PM,34.98,0,1,1,0.0,8.5,8.5495,8.5495,9,4.2655,5.200280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
40,2,653,0,0,0,0,sov,PM,28.78,0,1,1,0.0,6.4,6.4114,6.4114,9,3.6226,4.278660,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
41,2,654,0,0,0,0,sov,PM,34.98,0,1,1,0.0,4.3,4.3442,4.3442,7,2.2585,5.200280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
42,2,2061,0,0,0,0,sov,PM,34.98,0,1,1,0.0,9.1,9.0755,9.0755,12,5.0297,5.200280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
43,2,2125,0,0,0,0,sov,PM,4.26,0,1,1,0.0,46.5,46.4966,46.4966,16,11.4004,0.754000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
44,2,2125,0,0,1,0,sov,PM,7.97,0,1,1,0.0,19.1,19.0570,19.0570,22,11.8425,0.754000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
45,2,2136,0,0,0,0,sov,PM,8.51,0,1,1,0.0,18.7,18.6643,18.6643,24,10.7880,1.265560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
46,2,2137,0,0,0,0,sov,PM,6.12,0,1,1,0.0,21.9,21.8618,21.8618,26,12.7492,0.860720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
47,2,2142,0,0,0,0,sov,PM,13.20,0,1,1,0.0,43.7,43.7131,43.7131,14,8.6697,2.452240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
48,2,2142,0,0,1,0,sov,PM,8.29,0,1,1,0.0,16.3,16.2735,16.2735,20,9.1118,2.452240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
