o_zone_id,d_zone_id,links
1,653,"['201051BA', '201088AB', '201090AB', '201645BA', '201646BA', '201849AB']"
1,654,"['201052BA', '201088AB', '201090AB', '201645BA', '201646BA', '201844BA', '201847AB', '201849AB']"
1,2061,"['201069AB', '201070AB', '201078AB', '201088AB', '201090AB', '201102BA', '201342AB', '201345AB', '201351AB', '201352AB', '201353AB', '201354AB', '201494BA', '201498AB', '201499BA', '201500BA', '201529BA', '201533AB', '201540AB', '201541AB', '201542BA', '201543BA', '201549AB', '201558BA', '201574AB', '201581BA', '201589AB', '201635AB', '201644AB', '201645BA', '201646BA', '201810AB', '201827BA', '201844BA', '201847AB', '201849AB']"
1,2125,"['200821AB', '201005BA', '201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201595BA', '201606BA', '201635AB', '201644AB']"
1,2136,"['201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201597BA', '201604BA', '201605AB', '201610AB', '201613BA', '201615BA', '201635AB', '201644AB']"
1,2137,"['201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201592BA', '201597BA', '201604BA', '201605AB', '201610AB', '201614AB', '201615BA', '201635AB', '201639BA', '201644AB']"
1,2142,"['201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201603BA', '201606BA', '201635AB', '201644AB']"
1,2146,"['200820AB', '200821AB', '200984BA', '200985AB', '200989BA', '201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201595BA', '201606BA', '201635AB', '201644AB']"
1,2147,"['201065BA', '201078AB', '201088AB', '201345AB', '201346BA', '201352AB', '201589AB', '201592BA', '201597BA', '201604BA', '201605AB', '201610AB', '201614AB', '201615BA', '201633BA', '201635AB', '201644AB']"
1,2197,"['201069AB', '201070AB', '201088AB', '201090AB', '201495BA', '201498AB', '201502BA', '201507BA', '201548AB', '201549AB', '201559AB', '201560BA', '201573AB', '201574AB', '201645BA', '201646BA', '201810AB', '201827BA', '201844BA', '201847AB', '201849AB']"
2,1,"['201089AB', '201090BA', '201645AB', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA']"
2,3,"['201070AB', '201550AB', '201562AB', '201564AB', '201568AB', '201574AB', '201823BA']"
2,5,"['200831AB', '200947BA', '201070AB', '201105BA', '201271AB', '201280AB', '201286AB', '201294AB', '201317AB', '201320BA', '201335BA', '201502BA', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201559AB', '201560BA', '201574AB', '201823BA']"
