link_id,vdf_type,from_node_id,to_node_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,preload_volume,person_volume,travel_time,speed,speed_ratio,VOC,DOC,capacity,queue,avg_waiting_time_in_min,qdf,lanes,D,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_sov,person_vol_hov2,person_vol_hov3,person_vol_sut,person_vol_mut,obs_count,upper_bound_type,dev,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,SVol_0,SVol_1,SVol_2,SVol_3,SVol_4,SVol_5,SVol_6,SVol_7,SVol_8,SVol_9,SVol_10,SVol_11,SVol_12,SVol_13,SVol_14,SVol_15,SVol_16,SVol_17,SVol_18,SVol_19,notes
200820AB,qvdf,202925,202924,,,-1,0,-1,-1,4,,4,1500_1800,766.089,1.6,766.089,1.869,32.944,0.845,0.511,0.544,500.0,0.0,0.29,0.355,1.0,271.848,1.169,1.195,0.416,0.0,39.0,33.15,0.498,1.0,32.944,27.464,786.275,23.867,786.275,23.867,3.706,0.148,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",764.5,0.0,0.0,0.0,0.0,766.089,0.0,570.3,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.728,37.912,37.096,36.28,35.463,34.647,33.831,33.462,31.521,34.076,35.922,37.769,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,766.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200820BA,qvdf,202924,202925,,,-1,0,-1,-1,4,,4,1500_1800,747.685,1.544,747.685,1.858,33.152,0.85,0.498,0.531,500.0,0.0,0.279,0.355,1.0,265.318,1.169,1.195,0.399,0.0,39.0,33.15,0.498,1.0,33.152,27.656,767.386,23.147,767.386,23.147,3.471,0.0,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",746.1,0.0,0.0,0.0,0.0,747.685,0.0,601.4,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.729,37.917,37.105,36.293,35.481,34.669,33.857,33.793,31.906,34.129,35.956,37.782,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,747.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200821AB,qvdf,202925,202923,,,-1,0,-1,-1,2,,2,1500_1800,1205.458,628.227,1205.458,1.306,53.576,0.957,0.223,0.242,900.0,0.0,0.057,0.361,2.0,217.595,1.235,1.177,0.111,0.0,56.0,47.6,0.457,1.0,53.576,45.294,1405.901,26.241,1405.901,26.241,1.136,0.0,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",577.2,0.0,0.0,0.0,0.0,1205.458,0.0,-2627.7,55.977,55.91,55.842,55.774,55.706,55.638,55.571,52.768,55.651,55.746,55.841,55.937,55.966,55.865,55.765,55.664,55.563,55.462,55.361,55.26,55.159,55.058,54.958,54.857,54.756,54.655,51.866,54.772,54.913,55.055,55.197,55.339,55.48,55.622,55.764,55.906,55.896,55.584,55.273,54.961,54.649,54.338,54.026,53.714,50.934,54.289,54.93,55.572,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1205.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200821BA,qvdf,202923,202925,,,-1,0,-1,-1,2,,2,1500_1800,1351.994,664.332,1351.994,1.318,53.083,0.948,0.25,0.271,900.0,0.0,0.069,0.361,2.0,244.046,1.235,1.177,0.135,0.0,56.0,47.6,0.457,1.0,53.083,44.828,1576.804,29.705,1576.804,29.705,1.547,0.0,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",687.7,0.0,0.0,0.0,0.0,1351.994,0.0,-2604.1,55.975,55.901,55.826,55.752,55.677,55.603,55.528,52.725,55.617,55.721,55.826,55.93,55.963,55.852,55.742,55.631,55.52,55.409,55.299,55.188,55.077,54.967,54.856,54.745,54.634,54.524,51.737,54.651,54.807,54.963,55.118,55.274,55.429,55.585,55.741,55.896,55.874,55.497,55.119,54.742,54.365,53.987,53.61,53.232,50.451,53.914,54.696,55.479,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1351.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200831AB,qvdf,202909,202908,,,-1,0,-1,-1,2,,2,1500_1800,594.891,10.124,594.891,0.788,38.474,0.987,0.11,0.119,900.0,0.0,0.011,0.361,2.0,107.383,1.235,1.177,0.034,0.0,39.0,33.15,0.457,1.0,38.474,32.648,300.408,7.808,300.408,7.808,0.105,0.0,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",584.8,0.0,0.0,0.0,0.0,594.891,0.0,-1552.6,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.0,39.0,39.0,39.0,39.0,38.978,38.912,38.845,38.779,38.713,38.646,38.58,38.514,36.571,38.643,38.777,38.911,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,594.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200831BA,qvdf,202908,202909,,,-1,0,-1,-1,2,,2,1500_1800,647.645,10.076,647.645,0.789,38.394,0.984,0.12,0.13,900.0,0.0,0.012,0.361,2.0,116.905,1.235,1.177,0.039,0.0,39.0,33.15,0.457,1.0,38.394,32.571,327.048,8.518,327.048,8.518,0.132,0.0,"LINESTRING (-112.461419 33.636783, -112.452664 33.636910)",637.6,0.0,0.0,0.0,0.0,647.645,0.0,-849.3,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.0,39.0,39.0,39.0,39.0,38.975,38.898,38.822,38.745,38.669,38.592,38.516,38.439,36.497,38.588,38.742,38.897,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,647.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200833AB,qvdf,202905,202904,,,-1,0,-1,-1,4,,4,1500_1800,1.126,0.0,1.126,3.266,40.0,1.0,0.001,0.001,500.0,0.0,0.0,0.355,1.0,0.399,1.169,1.195,0.0,0.0,40.0,34.0,0.498,1.0,40.0,34.0,2.45,0.061,2.45,0.061,0.0,0.0,"LINESTRING (-112.478596 33.680470, -112.440812 33.680415)",1.1,0.0,0.0,0.0,0.0,1.126,0.0,-6.7,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200833BA,qvdf,202904,202905,,,-1,0,-1,1,4,,4,1500_1800,1.394,0.0,1.394,3.266,40.0,1.0,0.001,0.001,500.0,0.0,0.0,0.355,1.0,0.495,1.169,1.195,0.0,0.0,40.0,34.0,0.498,1.0,40.0,34.0,3.035,0.076,3.035,0.076,0.0,0.0,"LINESTRING (-112.440808 33.683621, -112.478592 33.683676)",1.4,0.0,0.0,0.0,0.0,1.394,0.0,-7.8,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200846AB,qvdf,615,202905,,,-1,0,-1,-1,9,,9,1500_1800,1.126,0.0,1.126,3.66,20.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.355,9.0,0.044,1.169,1.195,0.0,0.0,20.0,17.0,0.498,1.0,20.0,17.0,1.373,0.069,1.373,0.069,0.0,0.0,"LINESTRING (-112.462929 33.694446, -112.479483 33.683406)",1.1,0.0,0.0,0.0,0.0,1.126,0.0,-6.4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200846BA,qvdf,202905,615,,,-1,0,-1,-1,9,,9,1500_1800,1.394,0.0,1.394,3.66,20.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.355,9.0,0.055,1.169,1.195,0.0,0.0,20.0,17.0,0.498,1.0,20.0,17.0,1.701,0.085,1.701,0.085,0.0,0.0,"LINESTRING (-112.477705 33.680740, -112.461151 33.691780)",1.4,0.0,0.0,0.0,0.0,1.394,0.0,-7.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
