link_id,vdf_type,from_node_id,to_node_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,preload_volume,person_volume,travel_time,speed,speed_ratio,VOC,DOC,capacity,queue,avg_waiting_time_in_min,qdf,lanes,D,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_sov,person_vol_hov2,person_vol_hov3,person_vol_sut,person_vol_mut,obs_count,upper_bound_type,dev,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,SVol_0,SVol_1,SVol_2,SVol_3,SVol_4,SVol_5,SVol_6,SVol_7,SVol_8,SVol_9,SVol_10,SVol_11,SVol_12,SVol_13,SVol_14,SVol_15,SVol_16,SVol_17,SVol_18,SVol_19,notes
200820AB,qvdf,202925,202924,,,-1,0,-1,-1,4,,4,1500_1800,1208.832,1.6,1208.832,2.208,27.892,0.715,0.806,0.858,500.0,0.0,0.629,0.355,1.0,428.957,1.169,1.195,0.901,0.0,39.0,33.15,0.498,1.0,27.892,22.885,1240.685,44.481,1240.685,44.481,12.669,7.055,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",1207.2,0.0,0.0,0.0,0.0,1208.832,0.0,1013.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.685,37.741,36.797,35.854,34.91,33.966,35.281,26.093,24.001,33.889,34.563,37.225,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,1208.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200820BA,qvdf,202924,202925,,,-1,0,-1,-1,4,,4,1500_1800,1175.269,1.544,1175.269,2.179,28.267,0.725,0.784,0.834,500.0,0.0,0.6,0.355,1.0,417.047,1.169,1.195,0.859,0.0,39.0,33.15,0.498,1.0,28.267,23.221,1206.237,42.672,1206.237,42.672,11.743,6.285,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",1173.7,0.0,0.0,0.0,0.0,1175.269,0.0,1029.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.69,37.758,36.827,35.896,34.964,34.033,35.842,26.722,24.441,34.726,34.726,37.291,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,1175.27,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200821AB,qvdf,202925,202923,,,-1,0,-1,-1,2,,2,1500_1800,1843.903,628.227,1843.903,1.366,51.235,0.915,0.341,0.37,900.0,0.0,0.116,0.361,2.0,332.84,1.235,1.177,0.229,0.0,56.0,47.6,0.457,1.0,51.235,43.091,2150.507,41.973,2150.507,41.973,3.571,0.0,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",1215.7,0.0,0.0,0.0,0.0,1843.903,0.0,-1989.3,55.977,55.91,55.842,55.774,55.706,55.638,55.571,52.768,55.651,55.746,55.841,55.937,55.966,55.865,55.765,55.664,55.563,55.462,55.361,55.26,55.159,55.058,54.958,54.857,54.756,54.655,51.866,54.772,54.913,55.055,55.197,55.339,55.48,55.622,55.764,55.906,55.789,55.158,54.526,53.894,53.263,52.631,51.999,51.827,49.048,52.413,53.758,55.103,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1843.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200821BA,qvdf,202923,202925,,,-1,0,-1,-1,2,,2,1500_1800,1944.156,664.332,1944.156,1.377,50.829,0.908,0.36,0.39,900.0,0.0,0.127,0.361,2.0,350.937,1.235,1.177,0.25,0.0,56.0,47.6,0.457,1.0,50.829,42.711,2267.43,44.608,2267.43,44.608,4.119,0.0,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",1279.8,0.0,0.0,0.0,0.0,1944.156,0.0,-2011.9,55.975,55.901,55.826,55.752,55.677,55.603,55.528,52.725,55.617,55.721,55.826,55.93,55.963,55.852,55.742,55.631,55.52,55.409,55.299,55.188,55.077,54.967,54.856,54.745,54.634,54.524,51.737,54.651,54.807,54.963,55.118,55.274,55.429,55.585,55.741,55.896,55.77,55.081,54.391,53.702,53.012,52.323,51.633,51.066,48.289,52.06,53.537,55.015,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1944.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200831AB,qvdf,202909,202908,,,-1,0,-1,-1,2,,2,1500_1800,1058.572,10.124,1058.572,0.805,37.634,0.965,0.196,0.212,900.0,0.0,0.028,0.361,2.0,191.081,1.235,1.177,0.089,0.0,39.0,33.15,0.457,1.0,37.634,31.849,534.557,14.204,534.557,14.204,0.498,0.0,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",1048.4,0.0,0.0,0.0,0.0,1058.572,0.0,-1088.9,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.0,39.0,39.0,39.0,39.0,38.942,38.767,38.592,38.418,38.243,38.068,37.894,37.719,35.782,38.047,38.404,38.762,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1058.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200831BA,qvdf,202908,202909,,,-1,0,-1,-1,2,,2,1500_1800,869.548,10.076,869.548,0.797,38.011,0.975,0.161,0.174,900.0,0.0,0.02,0.361,2.0,156.961,1.235,1.177,0.064,0.0,39.0,33.15,0.457,1.0,38.011,32.207,439.104,11.552,439.104,11.552,0.293,0.0,"LINESTRING (-112.461419 33.636783, -112.452664 33.636910)",859.5,0.0,0.0,0.0,0.0,869.548,0.0,-627.4,39.0,39.0,39.0,39.0,39.0,39.0,39.0,37.05,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.999,38.999,38.999,38.999,38.999,38.999,37.049,38.999,38.999,38.999,38.999,39.0,39.0,39.0,39.0,39.0,38.958,38.833,38.707,38.581,38.456,38.33,38.205,38.079,36.14,38.319,38.574,38.83,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,869.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200833AB,qvdf,202905,202904,,,-1,0,-1,-1,4,,4,1500_1800,1.138,0.0,1.138,3.266,40.0,1.0,0.001,0.001,500.0,0.0,0.0,0.355,1.0,0.404,1.169,1.195,0.0,0.0,40.0,34.0,0.498,1.0,40.0,34.0,2.477,0.062,2.477,0.062,0.0,0.0,"LINESTRING (-112.478596 33.680470, -112.440812 33.680415)",1.1,0.0,0.0,0.0,0.0,1.138,0.0,-6.7,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200833BA,qvdf,202904,202905,,,-1,0,-1,1,4,,4,1500_1800,1.394,0.0,1.394,3.266,40.0,1.0,0.001,0.001,500.0,0.0,0.0,0.355,1.0,0.495,1.169,1.195,0.0,0.0,40.0,34.0,0.498,1.0,40.0,34.0,3.035,0.076,3.035,0.076,0.0,0.0,"LINESTRING (-112.440808 33.683621, -112.478592 33.683676)",1.4,0.0,0.0,0.0,0.0,1.394,0.0,-7.8,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200846AB,qvdf,615,202905,,,-1,0,-1,-1,9,,9,1500_1800,1.138,0.0,1.138,3.66,20.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.355,9.0,0.045,1.169,1.195,0.0,0.0,20.0,17.0,0.498,1.0,20.0,17.0,1.388,0.069,1.388,0.069,0.0,0.0,"LINESTRING (-112.462929 33.694446, -112.479483 33.683406)",1.1,0.0,0.0,0.0,0.0,1.138,0.0,-6.4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
200846BA,qvdf,202905,615,,,-1,0,-1,-1,9,,9,1500_1800,1.394,0.0,1.394,3.66,20.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.355,9.0,0.055,1.169,1.195,0.0,0.0,20.0,17.0,0.498,1.0,20.0,17.0,1.701,0.085,1.701,0.085,0.0,0.0,"LINESTRING (-112.477705 33.680740, -112.461151 33.691780)",1.4,0.0,0.0,0.0,0.0,1.394,0.0,-7.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,period-based
